Pclass,Age,SibSp,Parch,Fare,FamilySize,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Misc,Title_Miss,Title_Mr,Title_Mrs
3,0.45272319662402744,0.0,0.0,0.05219466666666667,0.0,0,1,0,1,0,0,0,0,1,0
3,0.6175656072794409,0.125,0.0,0.04666666666666667,0.2,1,0,0,0,1,0,0,0,0,1
2,0.815376500065937,0.0,0.0,0.06458333333333334,0.0,0,1,0,1,0,0,0,0,1,0
3,0.3538177502307794,0.0,0.0,0.057749999999999996,0.0,0,1,0,0,1,0,0,0,1,0
3,0.287880785968614,0.125,0.1111111111111111,0.08191666666666667,0.4,1,0,0,0,1,0,0,0,0,1
3,0.18238164314914942,0.0,0.0,0.0615,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3933799287880786,0.0,0.0,0.050861333333333335,0.0,1,0,0,1,0,0,0,1,0,0
2,0.3406303573783463,0.125,0.1111111111111111,0.19333333333333333,0.4,0,1,0,0,1,0,0,0,1,0
3,0.2351312145588817,0.0,0.0,0.04819466666666666,0.0,1,0,1,0,0,0,0,0,0,1
3,0.2746933931161809,0.25,0.0,0.161,0.4,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,0.6043782144270078,0.0,0.0,0.17333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
1,0.3010681788210471,0.125,0.0,0.5484446666666667,0.2,1,0,0,0,1,0,0,0,0,1
2,0.8285638929183701,0.125,0.0,0.17333333333333334,0.2,0,1,0,0,1,0,0,0,1,0
1,0.6175656072794409,0.125,0.0,0.4078333333333333,0.2,1,0,0,0,1,0,0,0,0,1
2,0.3142555716734801,0.125,0.0,0.18480533333333335,0.2,1,0,1,0,0,0,0,0,0,1
2,0.459316893050244,0.0,0.0,0.08233333333333333,0.0,0,1,0,1,0,0,0,0,1,0
3,0.2746933931161809,0.0,0.0,0.04816666666666666,0.0,0,1,1,0,0,0,0,0,1,0
3,0.3538177502307794,0.125,0.0,0.05283333333333333,0.2,1,0,0,0,1,0,0,1,0,0
3,0.5911908215745747,0.0,0.0,0.04816666666666666,0.0,1,0,1,0,0,0,0,0,0,1
1,0.7230647500989055,0.125,0.0,0.39599999999999996,0.2,0,1,1,0,0,0,0,0,1,0
3,0.11644467888698405,0.0,0.1111111111111111,0.021138666666666667,0.2,0,1,0,0,1,1,0,0,0,0
1,0.4541970817075346,0.0,0.0,0.211222,0.0,1,0,0,0,1,0,0,0,0,1
1,0.2746933931161809,0.0,0.1111111111111111,0.40919466666666665,0.2,0,1,1,0,0,0,0,0,1,0
1,0.630753000131874,0.125,0.3333333333333333,1.0,0.8,1,0,1,0,0,0,0,0,0,1
3,0.65712778583674,0.125,0.0,0.09666666666666666,0.2,0,1,0,0,1,0,0,0,1,0
1,0.287880785968614,0.0,0.1111111111111111,0.41319466666666665,0.2,1,0,1,0,0,0,0,1,0,0
3,0.29447448239483054,0.0,0.0,0.04816666666666666,0.0,0,1,1,0,0,0,0,0,1,0
1,0.5384412501648425,0.0,0.0,0.20333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.25,0.0,0.14452800000000002,0.4,0,1,1,0,0,0,0,0,1,0
2,0.65712778583674,0.125,0.0,0.17333333333333334,0.2,0,1,0,0,1,0,0,0,1,0
2,0.3142555716734801,0.25,0.0,0.21,0.4,0,1,0,0,1,0,0,0,1,0
3,0.4329421073453778,0.125,0.2222222222222222,0.13716666666666666,0.6,1,0,0,0,1,0,0,0,0,1
3,0.2845839377555057,0.125,0.2222222222222222,0.15633333333333332,0.6,1,0,0,0,1,0,0,0,0,1
1,0.3933799287880786,0.125,0.0,0.385,0.2,0,1,1,0,0,0,0,0,1,0
3,0.24172491098509824,0.0,0.0,0.04819466666666666,0.0,0,1,1,0,0,0,0,0,1,0
3,0.2845839377555057,0.0,0.0,0.05366666666666667,0.0,1,0,0,0,1,0,0,1,0,0
3,0.2746933931161809,0.0,0.0,0.057749999999999996,0.0,1,0,0,0,1,0,0,1,0,0
3,0.3274429645259132,0.0,0.0,0.06333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.3766386666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.5120664644599763,0.0,0.1111111111111111,0.08944466666666667,0.2,0,1,1,0,0,0,0,0,1,0
1,0.5421519997179726,0.0,0.0,0.17700000000000002,0.0,0,1,0,0,1,0,0,0,1,0
3,0.5384412501648425,0.0,0.0,0.05233333333333333,0.0,0,1,0,0,1,0,0,0,1,0
2,0.3933799287880786,0.0,0.0,0.08666666666666667,0.0,1,0,0,0,1,0,0,0,0,1
1,0.5911908215745747,0.125,0.0,0.35036133333333336,0.2,1,0,0,0,1,0,0,0,0,1
3,0.3274429645259132,0.0,0.0,0.05283333333333333,0.0,0,1,0,0,1,0,0,0,1,0
1,0.5911908215745747,0.0,0.0,0.19799999999999998,0.0,0,1,1,0,0,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.051666666666666666,0.0,0,1,0,1,0,0,0,0,1,0
1,0.7890017143610708,0.0,0.0,0.5086113333333334,0.0,1,0,1,0,0,0,0,0,0,1
3,0.472504285902677,0.0,0.2222222222222222,0.106,0.4,1,0,0,0,1,0,0,0,0,1
1,0.3142555716734801,0.125,0.0,0.4,0.2,0,1,0,0,1,0,0,0,1,0
2,0.3538177502307794,0.0,0.0,0.100222,0.0,0,1,1,0,0,0,0,0,1,0
2,0.2615060002637478,0.25,0.1111111111111111,0.15333333333333332,0.6,1,0,0,0,1,0,0,1,0,0
1,0.3670051430832124,0.375,0.2222222222222222,1.0,1.0,1,0,0,0,1,0,0,1,0,0
2,0.40314792391806764,0.0,0.0,0.10386133333333333,0.0,0,1,1,0,0,0,0,0,1,0
3,0.12963207173941713,0.5,0.1111111111111111,0.19416666666666665,1.0,0,1,0,1,0,1,0,0,0,0
3,0.459316893050244,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3274429645259132,0.0,0.0,0.051000000000000004,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.125,0.0,0.10733333333333334,0.2,0,1,0,0,1,0,0,0,1,0
1,0.472504285902677,0.0,0.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0
3,0.2219438217064486,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.4197547144929447,0.0,0.0,0.09,0.0,0,1,0,0,1,0,0,0,1,0
3,0.2351312145588817,0.0,0.0,0.051666666666666666,0.0,0,1,0,0,1,0,0,0,1,0
3,0.287880785968614,0.0,0.0,0.0515,0.0,1,0,0,1,0,0,0,1,0,0
1,0.16919425029671634,0.25,0.2222222222222222,1.0,0.8,0,1,1,0,0,1,0,0,0,0
2,0.37653927169949847,0.0,0.0,0.14,0.0,1,0,0,0,1,0,0,0,0,1
3,0.2351312145588817,0.0,0.0,0.052528,0.0,1,0,0,1,0,0,0,1,0,0
1,0.6175656072794409,0.0,0.0,0.2826666666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,0.4065673216405117,0.0,0.0,0.19025,0.0,0,1,1,0,0,0,0,0,1,0
1,0.7890017143610708,0.125,0.4444444444444444,1.0,1.0,1,0,0,0,1,0,0,0,0,1
3,0.3142555716734801,0.0,0.0,0.051666666666666666,0.0,1,0,0,1,0,0,0,1,0,0
3,0.2746933931161809,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3801925359356455,0.0,0.0,0.05283333333333333,0.0,1,0,0,0,1,0,0,1,0,0
1,0.37359883950942896,0.0,0.0,0.18480533333333335,0.0,0,1,1,0,0,0,0,0,1,0
1,0.459316893050244,0.0,0.0,1.0,0.0,1,0,1,0,0,0,0,1,0,0
1,0.42634841091916126,0.0,0.0,1.0,0.0,0,1,1,0,0,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,0.7230647500989055,0.25,0.0,0.17133333333333334,0.4,1,0,0,0,1,0,0,0,0,1
2,0.3933799287880786,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
3,0.3142555716734801,0.0,0.0,0.051666666666666666,0.0,1,0,0,1,0,0,0,1,0,0
3,0.07688250032968483,0.125,0.1111111111111111,0.10163866666666665,0.4,0,1,1,0,0,1,0,0,0,0
1,0.8813134643281023,0.125,0.0,1.0,0.2,0,1,0,0,1,0,0,0,1,0
1,0.6439403929843069,0.0,0.0,0.17333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
2,0.40314792391806764,0.0,0.0,0.07138866666666667,0.0,0,1,0,1,0,0,0,0,1,0
3,0.34732413204281054,0.125,0.0,0.09636133333333334,0.2,0,1,1,0,0,0,0,0,1,0
3,0.3538177502307794,0.0,0.0,0.052528,0.0,1,0,0,1,0,0,0,1,0,0
3,0.2351312145588817,0.0,0.0,0.05366666666666667,0.0,1,0,0,0,1,0,0,1,0,0
3,0.2845839377555057,0.0,0.0,0.051666666666666666,0.0,1,0,0,1,0,0,1,0,0,0
2,0.024132928919952525,0.125,0.1111111111111111,0.15333333333333332,0.4,0,1,0,0,1,1,0,0,0,0
3,0.287880785968614,0.125,0.0,0.09266666666666667,0.2,1,0,0,0,1,0,0,0,0,1
3,0.34732413204281054,0.0,0.0,0.051833333333333335,0.0,0,1,0,0,1,0,0,0,1,0
1,0.3538177502307794,0.125,0.2222222222222222,0.3466666666666667,0.6,1,0,0,0,1,0,0,0,0,1
3,0.34732413204281054,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,0.3274429645259132,0.0,0.0,0.17333333333333334,0.0,0,1,1,0,0,0,0,0,1,0
3,0.3274429645259132,0.0,0.0,0.051972,0.0,0,1,0,0,1,0,0,0,1,0
1,1.0,0.125,0.0,0.5256666666666666,0.2,1,0,0,0,1,0,0,0,0,1
3,0.3801925359356455,0.0,0.0,0.05283333333333333,0.0,0,1,0,0,1,0,0,0,1,0
3,0.2615060002637478,0.0,0.0,0.05236133333333333,0.0,1,0,0,0,1,0,0,1,0,0
3,0.4329421073453778,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,0.5648160358697085,0.125,0.0,0.3696113333333333,0.2,1,0,1,0,0,0,0,0,0,1
2,0.3538177502307794,0.125,0.0,0.17333333333333334,0.2,0,1,0,0,1,0,0,0,1,0
3,0.34732413204281054,0.0,0.0,0.051666666666666666,0.0,0,1,0,1,0,0,0,0,1,0
3,0.3406303573783463,0.0,0.0,0.051833333333333335,0.0,0,1,0,0,1,0,0,0,1,0
