Survived,Pclass,Age,SibSp,Parch,Fare,FamilySize,Sex_female,Sex_male,Embarked_C,Embarked_Q,Embarked_S,Title_Master,Title_Misc,Title_Miss,Title_Mr,Title_Mrs
0,3,0.2711736617240513,0.125,0.0,0.04833333333333333,0.2,0,1,0,0,1,0,0,0,1,0
1,1,0.4722292033174164,0.125,0.0,0.475222,0.2,1,0,1,0,0,0,0,0,0,1
1,3,0.32143754712239253,0.0,0.0,0.05283333333333333,0.0,1,0,0,0,1,0,0,1,0,0
1,1,0.43453128926866047,0.125,0.0,0.35400000000000004,0.2,1,0,0,0,1,0,0,0,0,1
0,3,0.43453128926866047,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
0,3,0.3278158951094034,0.0,0.0,0.05638866666666666,0.0,0,1,0,1,0,0,0,0,1,0
0,1,0.6732847449107816,0.0,0.0,0.34575,0.0,0,1,0,0,1,0,0,0,1,0
0,3,0.01985423473234481,0.375,0.16666666666666666,0.14049999999999999,0.8,0,1,0,0,1,1,0,0,0,0
1,3,0.33400351847197784,0.0,0.3333333333333333,0.074222,0.4,1,0,0,0,1,0,0,0,0,1
1,2,0.17064589092736868,0.125,0.0,0.20047199999999998,0.2,1,0,1,0,0,0,0,0,0,1
1,3,0.04498617743151546,0.125,0.16666666666666666,0.11133333333333333,0.4,1,0,0,0,1,0,0,1,0,0
1,1,0.7235486303091229,0.0,0.0,0.17700000000000002,0.0,1,0,0,0,1,0,0,1,0,0
0,3,0.24604171902488062,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
0,3,0.4847951746670017,0.125,0.8333333333333334,0.2085,1.0,0,1,0,0,1,0,0,0,1,0
0,3,0.17064589092736868,0.0,0.0,0.05236133333333333,0.0,1,0,0,0,1,0,0,1,0,0
1,2,0.6858507162603669,0.0,0.0,0.10666666666666667,0.0,1,0,0,0,1,0,0,0,0,1
0,3,0.01985423473234481,0.5,0.16666666666666666,0.19416666666666665,1.0,0,1,0,1,0,1,0,0,0,0
1,2,0.38100913634967415,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
0,3,0.38426740387031916,0.125,0.0,0.12,0.2,1,0,0,0,1,0,0,0,0,1
1,3,0.26803216888665493,0.0,0.0,0.04816666666666666,0.0,1,0,1,0,0,0,0,0,0,1
0,2,0.43453128926866047,0.0,0.0,0.17333333333333334,0.0,0,1,0,0,1,0,0,0,1,0
1,2,0.42196531791907516,0.0,0.0,0.08666666666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,3,0.18321186227695402,0.0,0.0,0.053528,0.0,1,0,0,1,0,0,0,1,0,0
1,1,0.3465694898215632,0.0,0.0,0.23666666666666666,0.0,0,1,0,0,1,0,0,0,1,0
0,3,0.09525006282985675,0.375,0.16666666666666666,0.14049999999999999,0.8,1,0,0,0,1,0,0,1,0,0
1,3,0.4722292033174164,0.125,0.8333333333333334,0.20925,1.0,1,0,0,0,1,0,0,0,0,1
0,3,0.3278158951094034,0.0,0.0,0.04816666666666666,0.0,0,1,1,0,0,0,0,0,1,0
0,1,0.23347574767529528,0.375,0.3333333333333333,1.0,1.0,0,1,0,0,1,0,0,0,1,0
1,3,0.26803216888665493,0.0,0.0,0.052528,0.0,1,0,0,1,0,0,0,1,0,0
0,3,0.3278158951094034,0.0,0.0,0.05263866666666667,0.0,0,1,0,0,1,0,0,0,1,0
0,1,0.4973611460165871,0.0,0.0,0.18480533333333335,0.0,0,1,1,0,0,0,1,0,0,0
1,1,0.42965273568588025,0.125,0.0,0.9768053333333334,0.2,1,0,1,0,0,0,0,0,0,1
1,3,0.26803216888665493,0.0,0.0,0.051666666666666666,0.0,1,0,0,1,0,0,0,1,0,0
0,2,0.8240764011058055,0.0,0.0,0.07,0.0,0,1,0,0,1,0,0,0,1,0
0,1,0.3465694898215632,0.125,0.0,0.5478053333333334,0.2,0,1,1,0,0,0,0,0,1,0
0,1,0.5224930887157577,0.125,0.0,0.3466666666666667,0.2,0,1,0,0,1,0,0,0,1,0
1,3,0.3278158951094034,0.0,0.0,0.04819466666666666,0.0,0,1,1,0,0,0,0,0,1,0
0,3,0.2586076903744659,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
0,3,0.22090977632570996,0.25,0.0,0.12,0.4,1,0,0,0,1,0,0,1,0,0
1,3,0.17064589092736868,0.125,0.0,0.07494466666666666,0.2,1,0,1,0,0,0,0,1,0,0
0,3,0.4973611460165871,0.125,0.0,0.06316666666666666,0.2,1,0,0,0,1,0,0,0,0,1
0,2,0.33400351847197784,0.125,0.0,0.14,0.2,1,0,0,0,1,0,0,0,0,1
0,3,0.3278158951094034,0.0,0.0,0.05263866666666667,0.0,0,1,1,0,0,0,0,0,1,0
1,2,0.032420206081930136,0.125,0.3333333333333333,0.27719466666666664,0.6,1,0,1,0,0,0,0,1,0,0
1,3,0.23347574767529528,0.0,0.0,0.052528,0.0,1,0,0,1,0,0,0,1,0,0
0,3,0.3278158951094034,0.0,0.0,0.05366666666666667,0.0,0,1,0,0,1,0,0,0,1,0
0,3,0.3278158951094034,0.125,0.0,0.10333333333333333,0.2,0,1,0,1,0,0,0,0,1,0
1,3,0.26803216888665493,0.0,0.0,0.051666666666666666,0.0,1,0,0,1,0,0,0,1,0,0
0,3,0.3278158951094034,0.25,0.0,0.14452800000000002,0.4,0,1,1,0,0,0,0,0,1,0
0,3,0.22090977632570996,0.125,0.0,0.11866666666666667,0.2,1,0,0,0,1,0,0,0,0,1
0,3,0.08268409148027142,0.5,0.16666666666666666,0.26458333333333334,1.0,0,1,0,0,1,1,0,0,0,0
0,3,0.2586076903744659,0.0,0.0,0.052,0.0,0,1,0,0,1,0,0,0,1,0
1,1,0.610454888162855,0.125,0.0,0.5115280000000001,0.2,1,0,1,0,0,0,0,0,0,1
1,2,0.35913546117114853,0.125,0.0,0.17333333333333334,0.2,1,0,0,0,1,0,0,0,0,1
0,1,0.8115104297562201,0.0,0.16666666666666666,0.41319466666666665,0.2,0,1,1,0,0,0,0,0,1,0
1,1,0.5134630075221647,0.0,0.0,0.23666666666666666,0.0,0,1,0,0,1,0,0,0,1,0
1,2,0.2586076903744659,0.0,0.0,0.07,0.0,1,0,0,0,1,0,0,1,0,0
0,3,0.35285247549635584,0.0,0.0,0.04819466666666666,0.0,0,1,1,0,0,0,0,0,1,0
1,2,0.05755214878110078,0.125,0.3333333333333333,0.185,0.6,1,0,0,0,1,0,0,1,0,0
0,3,0.13294797687861273,0.625,0.3333333333333333,0.31266666666666665,1.0,0,1,0,0,1,1,0,0,0,0
0,3,0.2711736617240513,0.0,0.0,0.04819466666666666,0.0,0,1,1,0,0,0,0,0,1,0
1,1,0.4722292033174164,0.0,0.0,0.5333333333333333,0.0,1,0,0,0,1,0,0,1,0,0
0,1,0.5601910027645137,0.125,0.0,0.5565,0.2,0,1,0,0,1,0,0,0,1,0
0,3,0.04498617743151546,0.375,0.3333333333333333,0.186,1.0,0,1,0,0,1,1,0,0,0,0
0,1,0.5134630075221647,0.0,0.0,0.18480533333333335,0.0,0,1,1,0,0,0,0,0,1,0
1,3,0.3278158951094034,0.125,0.16666666666666666,0.10163866666666665,0.4,0,1,1,0,0,1,0,0,0,0
1,2,0.35913546117114853,0.0,0.0,0.07,0.0,1,0,0,0,1,0,0,0,0,1
0,3,0.23347574767529528,0.0,0.0,0.05438866666666667,0.0,0,1,0,0,1,0,0,0,1,0
1,3,0.20834380497612465,0.5,0.3333333333333333,0.05283333333333333,1.0,1,0,0,0,1,0,0,1,0,0
0,3,0.32143754712239253,0.25,0.0,0.057749999999999996,0.4,0,1,0,0,1,0,0,0,1,0
